id,author_id,author_name,timestamp,content,likes,likes_by
1,1,modder0,2025-10-16 04:32:39,"Bem-vindo(a) ao Fluker! Seu novo espaço para se conectar! 👋
Olá, Fluker! Que bom ter você por aqui! Este é o seu feed, o coração da nossa plataforma. Para te ajudar a começar, preparamos um guia rápido sobre o que você encontra na interface:

1. Seu Feed Principal (Onde você está agora!)
Veja o que está rolando: Aqui você encontra os posts de todos os usuários. Role para baixo para ver as novidades!
Crie seu próprio post: Na parte superior do feed, você verá uma caixa de texto. Use-a para compartilhar seus pensamentos, e futuramente fotos ou o que quiser com a comunidade. É só digitar e clicar em ""Publicar""!
Curta e interaja: Gostou de um post? Clique no ícone de coração para curtir! Você verá o contador de curtidas aumentar e poderá desfazer a curtida a qualquer momento.
2. Menu Superior (Sempre à mão!)
Fluker: No nome superior Fluker, clique para voltar rapidamente para o feed principal.
Notificações (O sininho 🔔): Fique de olho no ícone de sino no canto superior direito. Ele te avisará sobre novas mensagens diretas (DMs) ou outras interações importantes. Se tiver um número vermelho, significa que há algo novo para você!
Seu Perfil (O avatar redondo): Ao lado do sininho, clique na sua foto de perfil (ou no ícone padrão) para acessar um menu rápido. Por enquanto, ele te leva para o seu perfil, onde você pode ver suas informações.
3. Chat de Mensagens Diretas (DM) 💬
Botão flutuante: No canto inferior direito da tela, você verá um botão de chat. Clique nele para abrir sua caixa de mensagens diretas.
Converse com amigos: Selecione um usuário na lista para iniciar uma conversa privada.
Envie mensagens: Digite sua mensagem na caixa de texto e envie!
4. Outras Páginas Importantes
Criar Conta / Login: Se você está vendo esta mensagem, já passou por lá! Mas lembre-se que essas são as portas de entrada para o Fluker.
Recuperar Senha: Caso precise, temos uma página para te ajudar a redefinir sua senha.
Dica: Explore a plataforma, curta posts, envie mensagens e divirta-se! Estamos construindo o Fluker juntos.

Se tiver qualquer dúvida, é só perguntar!

#BemVindoAoFluker #GuiaRápido #PrimeiroPost #ComunidadeFluker",1,1
2,1,modder0,2025-10-23T22:18:07.426397+00:00,22,1,1
3,3,Bernardo,2025-10-23 20:04:57,221,1,3
4,3,Bernardo,2025-10-23 20:13:05,ggbd,1,3
5,3,Bernardo,2025-10-23 20:30:36,yrh,1,3
6,2,Furlan,2025-10-23 20:33:36,salveee,1,3
7,4,teste1,2025-10-23 20:35:02,oi,2,4;5
8,4,teste1,2025-10-23 21:00:59,opaa,0,
9,6,teste3,2025-10-23 22:30:49,oi,2,6;7
10,6,teste3,2025-10-23 22:35:00,oi,2,6;7
